department,query
Alexa Skills,Jeopardy Alexa Skill
Amazon Devices,Amazon Echo
Amazon Fresh,Carrots
Amazon Pharmacy,Panadol Multipack 
Amazon Warehouse,Refurbished HD TV 
Appliances,french door fridge
Apps & Games,social media apps 
"Arts, Crafts & Sewing",electronic domestic sewing machine
Audible Books & Originals,crime thriller audiobook
Automotive Parts & Accessories,cabin air filter
Baby,baby wet wipes
Beauty & Personal Care,moisturizing cleanser
Books,classic science fiction novel
CDs & Vinyl,pink floyd vinyl
Cell Phones & Accessories,samsung galaxy smartphone
"Clothing, Shoes & Jewelry",converse chuck taylors
"Clothing, Shoes & Jewelry - Women",pandora necklace
"Clothing, Shoes & Jewelry - Men",mens chelsea boots
"Clothing, Shoes & Jewelry - Girls",pleated school dress
"Clothing, Shoes & Jewelry - Boys",toddler boys thick sweatshirt
"Clothing, Shoes & Jewelry - Baby",simple baby jumpsuits
Collectibles & Fine Art,collectible coins
Computers,dell laptop
Credit and Payment Cards,amazon business amex
Digital Music,amazon music unlimited
Electronics,bluetooth headphones
Garden & Outdoors,garden furniture set
Gift Cards,gift cards for moms
Grocery & Gourmet Food,fruit snacks
Handmade,hand woven bag
"Health, Household & Baby Care",toilet cleaner
Home & Business Services,security camera and installation
Home & Kitchen,chefs knife
Industrial & Scientific ,pcr machine
Just for Prime,vr headset
Kindle Store,kindle paperwhite
Luggage & Travel Gear,travel pillow
Luxury Stores,designer handbag
Magazine Subscriptions,cooking and food magazine subscriptions
Movies & TV,sitcom box sets
Musical Instruments,electric guitar
Office Products,inkjet printer
Pet Supplies,dog dental sticks
Premium Beauty,designer cologne
Prime Video,prime movies
Smart Home,ring doorbell
Software,microsoft windows 10
Sports & Outdoors,soccer ball
Subscribe & Save,subscribe and save toilet roll
Subscription Boxes,beauty box subscription
Tools & Home Improvement ,power drill
Toys & Games,kids abacus
Under $10,birthday gift worlds best pillow under 10 $
Video Games,cyberpunk 2077
Whole Foods Market ,organic berries
