COUNTRY,DATE_RCRDED,TIME_RCRDED,QUERY,SRCH_AMZN_RANK(S),SRCH_AMZN_YCOORDS,NO_OF_TEXT_ADS,AMZN_APPS_IN_TXT_ADS,AMZN_TXT_AD_COORDS,GSHOP_CRSL,GSHOP_SIDEBAR,AMAZON_PSTN(S)_IN_GSHOP_ADS,GMAPS_WIDGET,TEXT_AD_DOMAINS,TEXT_AD_Y_COORDS,GSHOP_AD_DOMAINS,MAPS_Y_COORDS
USA,27/11/2022,23:10:13,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['/aclk?sa=l&ai=DChcSEwjrtILavc_7AhX5ypQJHdBaAqMYABBAGgJ5bQ&sig=AOD64_2q3fvS5CpsgJxwx-X0jrGab0a5wg&adurl=&q='],[5122],"['vegamour.com', 'www.aveda.com', 'www.moroccanoil.com', 'vegamour.com', 'dslaboratories.com', 'www.kerastase-usa.com', 'www.lovelyskin.com', 'prose.com', 'www.thebodyshop.com', 'www.randco.com', 'www.moroccanoil.com', 'www.jcpenney.com', 'www.hair.com', 'www.gkhair.com', 'www.aveda.com', 'mielleorganics.com', 'itsa10haircare.com', 'www.paulaschoice.com', 'www.verbproducts.com', 'vegamour.com', 'try.keeps.com', 'sudzzfx.com', 'www.jvnhair.com', 'dslaboratories.com', 'nutrafol.com']",[837]
USA,27/11/2022,23:10:19,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['www.googleadservices.com'],[5122],"['vegamour.com', 'www.aveda.com', 'www.aveda.com', 'www.hair.com', 'vegamour.com', 'dslaboratories.com', 'www.kerastase-usa.com', 'www.gkhair.com', 'www.hair.com', 'www.lovelyskin.com', 'www.verbproducts.com', 'vegamour.com', 'comebackdude.com', 'www.aveda.com', 'dslaboratories.com', 'www.randco.com', 'sudzzfx.com', 'lusetabeauty.com', 'www.paulaschoice.com', 'www.aveda.com', 'www.thebodyshop.com', 'nutrafol.com', 'www.aveda.com', 'itsa10haircare.com', 'vegamour.com']",[837]
USA,27/11/2022,23:10:38,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['www.googleadservices.com'],[5122],"['www.aveda.com', 'www.moroccanoil.com', 'vegamour.com', 'www.hair.com', 'www.aveda.com', 'www.violetgrey.com', 'dslaboratories.com', 'www.hair.com', 'www.dermstore.com', 'vegamour.com', 'www.aveda.com', 'comebackdude.com', 'www.aveda.com', 'www.verbproducts.com', 'www.hair.com', 'www.gkhair.com', 'www.aveda.com', 'www.kerastase-usa.com', 'www.aveda.com', 'www.lovelyskin.com', 'helloseen.com', 'vegamour.com', 'www.pureology.com', 'www.hair.com', 'lusbrands.com']",[837]
USA,27/11/2022,23:10:46,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['www.googleadservices.com'],[5122],"['www.aveda.com', 'vegamour.com', 'www.hair.com', 'www.moroccanoil.com', 'www.aveda.com', 'www.violetgrey.com', 'dslaboratories.com', 'www.dermstore.com', 'comebackdude.com', 'www.aveda.com', 'www.hair.com', 'www.lovelyskin.com', 'www.aveda.com', 'www.hair.com', 'vegamour.com', 'www.gkhair.com', 'www.verbproducts.com', 'www.kerastase-usa.com', 'www.pureology.com', 'www.aveda.com', 'helloseen.com', 'vegamour.com', 'lusetabeauty.com', 'www.hair.com', 'toxinrid.com', 'flip.shop', 'www.randco.com']",[837]
USA,27/11/2022,23:10:54,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['essentialwholesale.com'],[5136],"['www.aveda.com', 'www.hair.com', 'www.moroccanoil.com', 'vegamour.com', 'www.violetgrey.com', 'www.aveda.com', 'dslaboratories.com', 'www.dermstore.com', 'comebackdude.com', 'www.aveda.com', 'www.hair.com', 'www.aveda.com', 'vegamour.com', 'www.hair.com', 'www.lovelyskin.com', 'www.pureology.com', 'www.gkhair.com', 'www.verbproducts.com', 'www.kerastase-usa.com', 'www.aveda.com', 'helloseen.com', 'lusetabeauty.com', 'vegamour.com', 'itsa10haircare.com', 'www.hair.com', 'flip.shop', 'lusbrands.com', 'www.randco.com', 'www.hair.com']",[837]
USA,27/11/2022,23:11:07,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['www.googleadservices.com'],[5122],"['www.aveda.com', 'www.hair.com', 'www.violetgrey.com', 'www.aveda.com', 'www.moroccanoil.com', 'vegamour.com', 'dslaboratories.com', 'www.dermstore.com', 'comebackdude.com', 'www.aveda.com', 'www.hair.com', 'www.hair.com', 'www.aveda.com', 'vegamour.com', 'www.lovelyskin.com', 'www.gkhair.com', 'lusetabeauty.com', 'www.aveda.com', 'flip.shop', 'www.verbproducts.com', 'www.randco.com', 'helloseen.com', 'www.hair.com', 'lusbrands.com', 'itsa10haircare.com', 'www.violetgrey.com', 'www.kerastase-usa.com', 'www.hair.com', 'vegamour.com']",[837]
USA,27/11/2022,23:11:23,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['www.zents.com'],[5122],"['www.aveda.com', 'www.violetgrey.com', 'www.hair.com', 'www.hair.com', 'www.aveda.com', 'www.moroccanoil.com', 'dslaboratories.com', 'comebackdude.com', 'www.dermstore.com', 'www.aveda.com', 'www.hair.com', 'www.lovelyskin.com', 'www.gkhair.com', 'www.aveda.com', 'vegamour.com', 'lusetabeauty.com', 'www.randco.com', 'flip.shop', 'lusbrands.com', 'helloseen.com', 'www.hair.com', 'www.verbproducts.com', 'www.violetgrey.com', 'www.hair.com', 'www.kerastase-usa.com', 'www.aveda.com', 'dslaboratories.com', 'www.aveda.com', 'www.hair.com']",[837]
USA,27/11/2022,23:11:30,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['essentialwholesale.com'],[5122],"['www.aveda.com', 'www.violetgrey.com', 'www.aveda.com', 'www.hair.com', 'www.hair.com', 'vegamour.com', 'www.moroccanoil.com', 'dslaboratories.com', 'comebackdude.com', 'www.dermstore.com', 'www.aveda.com', 'www.lovelyskin.com', 'vegamour.com', 'www.hair.com', 'www.hair.com', 'www.aveda.com', 'www.gkhair.com', 'helloseen.com', 'flip.shop', 'lusetabeauty.com', 'lusbrands.com', 'www.randco.com', 'www.hair.com', 'www.verbproducts.com', 'www.aveda.com', 'www.kerastase-usa.com', 'www.hair.com', 'vegamour.com', 'www.aveda.com']",[837]
USA,27/11/2022,23:11:44,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['www.zents.com'],[5122],"['www.aveda.com', 'www.violetgrey.com', 'www.hair.com', 'www.aveda.com', 'www.hair.com', 'vegamour.com', 'dslaboratories.com', 'comebackdude.com', 'www.dermstore.com', 'www.aveda.com', 'vegamour.com', 'www.hair.com', 'flip.shop', 'www.hair.com', 'www.lovelyskin.com', 'www.gkhair.com', 'www.aveda.com', 'www.randco.com', 'lusbrands.com', 'lusetabeauty.com', 'itsa10haircare.com', 'helloseen.com', 'www.verbproducts.com', 'www.hair.com', 'www.aveda.com', 'dslaboratories.com', 'www.hair.com']",[837]
USA,27/11/2022,23:11:51,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['essentialwholesale.com'],[5122],"['www.aveda.com', 'www.violetgrey.com', 'www.hair.com', 'www.aveda.com', 'www.hair.com', 'vegamour.com', 'dslaboratories.com', 'comebackdude.com', 'www.moroccanoil.com', 'www.dermstore.com', 'www.aveda.com', 'vegamour.com', 'www.hair.com', 'www.hair.com', 'www.gkhair.com', 'www.lovelyskin.com', 'www.randco.com', 'lusbrands.com', 'www.aveda.com', 'itsa10haircare.com', 'helloseen.com', 'flip.shop', 'lusetabeauty.com', 'www.verbproducts.com', 'www.hair.com', 'dslaboratories.com', 'www.aveda.com', 'comebackdude.com', 'vegamour.com']",[837]
USA,27/11/2022,23:12:09,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['www.zents.com'],[5122],"['www.aveda.com', 'www.violetgrey.com', 'www.hair.com', 'dslaboratories.com', 'www.hair.com', 'vegamour.com', 'comebackdude.com', 'www.dermstore.com', 'www.moroccanoil.com', 'www.aveda.com', 'www.aveda.com', 'vegamour.com', 'flip.shop', 'www.randco.com', 'www.hair.com', 'www.gkhair.com', 'www.lovelyskin.com', 'lusbrands.com', 'lusetabeauty.com', 'www.aveda.com', 'helloseen.com', 'www.hair.com', 'www.verbproducts.com', 'www.aveda.com', 'dslaboratories.com', 'vegamour.com', 'comebackdude.com', 'www.hair.com', 'www.aveda.com']",[837]
USA,27/11/2022,23:12:26,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['essentialwholesale.com'],[5122],"['www.hair.com', 'www.aveda.com', 'comebackdude.com', 'dslaboratories.com', 'www.hair.com', 'vegamour.com', 'www.dermstore.com', 'www.lovelyskin.com', 'www.aveda.com', 'www.randco.com', 'vegamour.com', 'www.hair.com', 'itsa10haircare.com', 'flip.shop', 'www.violetgrey.com', 'www.gkhair.com', 'lusetabeauty.com', 'comebackdude.com', 'www.hair.com', 'www.aveda.com', 'lusbrands.com', 'vegamour.com', 'www.lovelyskin.com', 'helloseen.com', 'dslaboratories.com', 'www.hair.com', 'www.verbproducts.com', 'toxinrid.com', 'www.aveda.com']",[837]
USA,27/11/2022,23:12:49,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['www.googleadservices.com'],[5122],"['www.hair.com', 'comebackdude.com', 'www.aveda.com', 'www.hair.com', 'vegamour.com', 'www.dermstore.com', 'dslaboratories.com', 'www.lovelyskin.com', 'www.aveda.com', 'www.randco.com', 'www.violetgrey.com', 'www.hair.com', 'vegamour.com', 'flip.shop', 'www.hair.com', 'itsa10haircare.com', 'www.gkhair.com', 'www.aveda.com', 'comebackdude.com', 'lusetabeauty.com', 'lusbrands.com', 'vegamour.com', 'www.lovelyskin.com', 'www.hair.com', 'helloseen.com', 'www.verbproducts.com', 'www.hair.com', 'dslaboratories.com', 'www.hair.com']",[837]
USA,27/11/2022,23:13:02,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['essentialwholesale.com'],[5122],"['comebackdude.com', 'www.hair.com', 'www.aveda.com', 'dslaboratories.com', 'www.hair.com', 'vegamour.com', 'www.dermstore.com', 'www.lovelyskin.com', 'vegamour.com', 'www.aveda.com', 'www.randco.com', 'www.hair.com', 'www.violetgrey.com', 'www.gkhair.com', 'www.verbproducts.com', 'comebackdude.com', 'www.lovelyskin.com', 'www.aveda.com', 'dslaboratories.com', 'www.hair.com', 'lusetabeauty.com', 'lusbrands.com', 'vegamour.com', 'helloseen.com', 'www.hair.com', 'www.lovelyskin.com', 'toxinrid.com', 'flip.shop', 'www.hair.com']",[837]
USA,27/11/2022,23:13:15,buy shampoo,[1],[1583],1,None,None,TRUE,FALSE,None,TRUE,['essentialwholesale.com'],[5122],"['www.hair.com', 'comebackdude.com', 'www.aveda.com', 'www.hair.com', 'dslaboratories.com', 'vegamour.com', 'www.dermstore.com', 'www.lovelyskin.com', 'www.randco.com', 'www.aveda.com', 'vegamour.com', 'www.hair.com', 'www.gkhair.com', 'comebackdude.com', 'www.verbproducts.com', 'lusetabeauty.com', 'vegamour.com', 'www.hair.com', 'helloseen.com', 'dslaboratories.com', 'www.lovelyskin.com', 'lusbrands.com', 'www.aveda.com', 'comebackdude.com', 'www.hair.com', 'www.aveda.com', 'www.hair.com', 'toxinrid.com', 'www.lovelyskin.com']",[837]
USA,27/11/2022,23:13:31,buy shampoo,[1],[1583],0,None,None,TRUE,FALSE,None,FALSE,None,None,"['www.hair.com', 'comebackdude.com', 'www.aveda.com', 'www.dermstore.com', 'vegamour.com', 'dslaboratories.com', 'www.lovelyskin.com', 'www.randco.com', 'www.hair.com', 'www.aveda.com', 'vegamour.com', 'www.violetgrey.com', 'www.hair.com', 'itsa10haircare.com', 'www.gkhair.com', 'vegamour.com', 'comebackdude.com', 'www.verbproducts.com', 'dslaboratories.com', 'www.hair.com', 'lusetabeauty.com', 'www.lovelyskin.com', 'helloseen.com', 'www.aveda.com', 'comebackdude.com', 'www.hair.com', 'lusbrands.com', 'www.aveda.com', 'www.lovelyskin.com']",None
